        lo        
 KB/s in  KB/s out
11392.74  11392.74
12434.71  12434.71
12435.03  12435.03
12435.32  12435.32
12434.09  12434.09
12435.28  12435.28
12434.52  12434.52
12435.45  12435.45
12434.30  12434.30
12435.78  12435.78
12434.40  12434.40
12435.29  12435.29
12435.31  12435.31
12433.52  12433.52
12436.07  12436.07
12434.25  12434.25
12435.06  12435.06
12434.97  12434.97
12434.86  12434.86
12435.19  12435.19
12434.85  12434.85
12434.21  12434.21
        lo        
 KB/s in  KB/s out
12435.71  12435.71
12433.98  12433.98
12435.03  12435.03
12434.97  12434.97
12434.73  12434.73
12435.56  12435.56
12434.23  12434.23
12435.75  12435.75
12419.88  12419.88
12448.90  12448.90
12435.19  12435.19
12435.23  12435.23
12434.86  12434.86
12434.83  12434.83
12433.58  12433.58
12435.92  12435.92
12435.07  12435.07
12426.89  12426.89
12441.80  12441.80
12436.66  12436.66
12434.14  12434.14
12435.59  12435.59
        lo        
 KB/s in  KB/s out
12433.78  12433.78
12435.27  12435.27
12434.80  12434.80
12434.85  12434.85
12435.74  12435.74
12434.15  12434.15
12434.81  12434.81
12435.23  12435.23
12435.26  12435.26
12434.46  12434.46
12434.98  12434.98
12435.39  12435.39
12434.72  12434.72
12435.34  12435.34
12434.06  12434.06
12435.73  12435.73
12435.07  12435.07
12434.10  12434.10
12434.59  12434.59
12435.26  12435.26
12434.59  12434.59
12434.30  12434.30
        lo        
 KB/s in  KB/s out
12435.17  12435.17
12435.51  12435.51
12435.59  12435.59
12433.76  12433.76
12434.77  12434.77
12435.32  12435.32
12434.55  12434.55
12434.95  12434.95
12434.10  12434.10
12436.31  12436.31
12433.96  12433.96
12436.16  12436.16
12433.86  12433.86
12435.77  12435.77
12434.90  12434.90
12433.93  12433.93
12436.17  12436.17
12434.05  12434.05
12434.96  12434.96
12434.01  12434.01
12436.19  12436.19
12435.32  12435.32
        lo        
 KB/s in  KB/s out
12434.26  12434.26
12434.30  12434.30
12434.99  12434.99
12435.57  12435.57
12435.13  12435.13
12434.50  12434.50
12434.20  12434.20
12435.83  12435.83
12435.11  12435.11
12433.19  12433.19
12436.03  12436.03
12435.67  12435.67
12433.73  12433.73
12435.45  12435.45
12435.18  12435.18
12434.68  12434.68
12435.40  12435.40
12433.73  12433.73
12434.86  12434.86
12434.77  12434.77
12435.50  12435.50
12434.49  12434.49
        lo        
 KB/s in  KB/s out
12434.90  12434.90
12384.19  12384.19
12487.35  12487.35
12434.06  12434.06
12434.82  12434.82
12435.39  12435.39
12434.46  12434.46
12434.96  12434.96
12434.50  12434.50
10508.07  10508.07
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
